Site Number,Lambda_Mean_MR_Snow_Pval,Lambda_LSc_MR_Snow_Pval,Lambda_LSk_MR_Snow_Pval,Lambda_LKur_MR_Snow_Pval
1165500,0.00988654716524354,0.007086549474621233,0.8617777911979241,0.08491323431122053
1166500,0.3647339472719988,0.00971042740424174,0.06309135241249116,0.8050404559799764
1168151,0.1176752347766362,0.03110659512874644,0.02421377879549015,0.4553513469483805
1168500,0.01285376608646485,0.0007244382875793607,0.1294398268467733,0.1706562550861986
1169000,0.0004090844953335815,1.823101724319429e-06,0.547068339950637,0.006319495319211213
1169900,0.06849883165998244,0.080896912876016,0.07305027355482563,0.7915017305690359
1170100,0.06925032368100661,0.01316147649217188,0.01273498427745481,0.6275140408119425
1170500,0.0002444933704021903,0.001292701353381517,0.003352725293261902,0.08855415261180982
1171300,0.001910319777071355,0.002464063934938276,0.6939392419550432,0.7107133239472097
1171500,0.6061087022809661,0.0007783277027297149,0.02149919551823953,0.185809536934624
1172500,0.5462487185284255,0.006273780009332642,0.9766822361199854,0.1859423497310599
1173000,0.6757541766281205,0.001361806649277196,0.03794444583335704,0.485760361180713
1173500,0.0001608863328733114,0.007526219024591298,0.008370181206038337,0.3501442428062426
1174000,0.02662938550192999,0.009235802985033882,0.05686196465169777,0.03689964460344843
1174500,0.2362302832474486,0.008266835974712384,0.0001703036678595382,0.399235894559871
1174565,0.8458439649372961,0.2462459019899677,0.2908551424782618,0.8745459928186619
1174600,0.0502169207852364,0.03540165859205362,0.9939724480752313,0.0439138421749471
1174900,0.2030505646126331,0.05272471919246722,0.5352269930992661,0.7584358009301027
1175500,0.3792217285060026,3.860640804326279e-05,0.002371291923350345,0.4282997226016799
1175670,0.4657242799232109,0.0006324768475636587,0.00893231847131505,0.1573987283578915
1176000,0.2961670815166127,2.85876011303086e-05,0.04781927835793592,0.5625634310036453
1177000,0.5234218552184596,0.001346678059077694,0.4090464460679271,0.1195791753656829
1179500,0.1104999382661023,0.001421169747514831,0.0585880284799471,0.1687077908199905
1180000,0.01837287398461833,0.01572507112777963,0.2168935937769762,0.9338694799131793
1180500,4.57733244519647e-05,0.0255467274017867,0.2078845644516035,0.007868705317167372
1181000,0.6098283478086061,0.0584078560706872,0.02963490345093207,0.6493786135123424
1183500,0.304033842612854,0.02924345756075717,0.3066027958036054,0.6717245583880787
1185500,0.0003560509247444265,0.0002773197306001261,0.08619795460615735,0.7672006177789628
1187300,0.8311602216700105,0.0007643089404065763,0.2243562186602146,0.9354043750810539
1197000,0.01926288866549027,0.005232911697234451,0.03876274580269737,0.5989870724345366
1197500,0.0001203466383194084,0.0001546958455971533,0.01486410950043063,0.7952315812916777
1198000,0.1243960572292502,0.002495206600722435,0.6256026843463145,0.2937950935545871
1331500,0.7089062002776922,0.3176960884318535,0.258470282138245,0.4005862518701353
1332500,0.1182989129705043,0.0001487885159743002,0.004208393044747133,0.2451035153829251
1333000,0.9400086807130086,0.001060179967933068,0.04307036237070658,0.9417488618622344
